Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,VHF Guard,121.500000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Aircraft Emergency and Distress,,,,
1,ELT Training,121.775000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Emergency Locator Transmitter (ELT) Training Beacons,,,,
2,AvSup 121.95,121.950000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Aviation Support,,,,
3,FLightWatch WX,122.200000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Flight Watch Weather ,,,,
4,UNICOM 122.7,122.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,50W,Airports without an Air Traffic Control tower or FSS on the airport.,,,,
5,UNICOM 122.725,122.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,50W,Airports without an Air Traffic Control tower or FSS on the airport.,,,,
6,Air-Air Fixed Wing,122.750000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,50W,USA: Air-to-air communication (private fixed wing aircraft).,,,,
7,UNICOM 122.8,122.800000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,50W,Airports without an Air Traffic Control tower or FSS on the airport.,,,,
8,MULTICOM 122.85,122.850000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"Multicom, Aviation Support",,,,
9,MULTICOM 122.9,122.900000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,50W,"Multicom, Search and Rescue Training 	",,,,
10,MULTICOM 122.925,122.925000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,50W,"Multicom, Special Use, Natural resource management 	",,,,
11,UNICOM 122.95 (ATC),122.950000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,50W,Airports with an Air Traffic Control tower or FSS (Alaska only) on the airport.,,,,
12,UNICOM 122.975,122.975000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,50W,Airports without an Air Traffic Control tower or FSS on the airport.,,,,
13,UNICOM 123.0,123.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,50W,Airports without an Air Traffic Control tower or FSS on the airport.,,,,
14,Air-Air Helo,123.025000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,50W,USA: Helicopter air-to-air communications; air traffic control operations.,,,,
15,UNICOM 123.05,123.050000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,50W,Airports without an Air Traffic Control tower or FSS on the airport.,,,,
16,UNICOM 123.075,123.075000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,50W,Airports without an Air Traffic Control tower or FSS on the airport.,,,,
17,SAR Primary,123.100000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"Search and Rescue primary, ATC for special events secondary.",,,,
18,FlightTest 123.125,123.125000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Flight Test itinerant,,,,
19,FlightTest 123.15,123.150000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Flight Test itinerant 	,,,,
20,FlightTest 123.175,123.175000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Flight Test itinerant 	,,,,
21,FlightTest 123.2,123.200000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Flight Test,,,,
22,FlightTest 123.225,123.225000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Flight Test,,,,
23,FlightTest 123.25,123.250000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Flight Test,,,,
24,FlightTest 123.275,123.275000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Flight Test,,,,
25,AvSup 123.3,123.300000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,50W,"Aviation instruction, Glider, Hot Air Balloon (not to be used for advisory service).",,,,
26,FlightTest 123.325,123.325000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Flight Test,,,,
27,FlightTest 123.35,123.350000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Flight Test,,,,
28,FlightTest 123.375,123.375000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Flight Test,,,,
29,FlightTest 123.4,123.400000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Flight Test itinerant,,,,
30,FlightTest 123.425,123.425000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Flight Test itinerant,,,,
31,FlightTest 123.45,123.450000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Flight Test,,,,
32,FlightTest 123.475,123.475000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Flight Test,,,,
33,AvSup 123.5,123.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,25.00,,50W,"Aviation instruction, Glider, Hot Air Balloon (not to be used for advisory service).",,,,
34,FlightTest 123.525,123.525000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Flight Test,,,,
35,FlightTest 123.55,123.550000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Flight Test,,,,
36,FlightTest 123.575,123.575000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Flight Test,,,,
37,MILCOM 126.2,126.200000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Military Common (advisory) ,,,,
38,Deicing Common,129.525000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Deicing Common,,,,
39,MILCOM 134.1,134.100000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Military Common (advisory) ,,,,
40,FlightInsp 135.85,135.850000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,FAA Flight Inspection,,,,
41,FlightInsp 135.9,135.900000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,FAA Flight Inspection,,,,
